date_shipped;shipping_country;order_type;delivery_status;GSb4Ret;;;;;;;
02.04.2015;DE;First Order;Returned;554.55;;;;;;;
02.04.2015;DE;Repeat Order;Kept;1,029.35;;;;;;;
02.04.2015;CH;Repeat Order;Kept;1,174.58;;;;;;;
30.03.2015;DE;Outfittery Club Order;Returned;902.30;;;;;;;
25.03.2015;DE;First Order;Returned;867.40;;;;;;;
25.03.2015;DE;Repeat Order;Returned;1,598.95;;;;;;;
24.03.2015;DE;First Order;Returned;844.35;;;;;;;
23.03.2015;DE;First Order;Returned;2,821.39;;;;;;;
20.03.2015;DE;Repeat Order;Kept;1,084.45;;;;;;;
20.03.2015;DE;First Order;Returned;828.45;;;;;;;
20.03.2015;DE;Repeat Order;Returned;715.50;;;;;;;
19.03.2015;DE;Repeat Order;Returned;1,651.60;;;;;;;
19.03.2015;DE;First Order;Returned;1,530.99;;;;;;;
19.03.2015;AT;Repeat Order;Returned;602.50;;;;;;;
19.03.2015;DE;Outfittery Club Order;Returned;744.39;;;;;;;
18.03.2015;DE;First Order;Returned;2,456.49;;;;;;;
18.03.2015;DE;First Order;Kept;996.25;;;;;;;
17.03.2015;DE;First Order;Returned;844.25;;;;;;;
17.03.2015;DE;Repeat Order;Kept;1,084.35;;;;;;;
16.03.2015;DE;First Order;Returned;733.55;;;;;;;
13.03.2015;DE;Outfittery Club Order;Returned;562.60;;;;;;;
13.03.2015;AT;First Order;Returned;1,148.45;;;;;;;
13.03.2015;DE;First Order;Returned;605.55;;;;;;;
12.03.2015;DE;Outfittery Club Order;Returned;1,092.60;;;;;;;
12.03.2015;DE;Repeat Order;Returned;855.49;;;;;;;
11.03.2015;DE;Outfittery Club Order;Returned;789.50;;;;;;;
11.03.2015;DE;Repeat Order;Kept;847.45;;;;;;;
11.03.2015;DE;First Order;Returned;948.45;;;;;;;
10.03.2015;DE;Repeat Order;Kept;552.02;;;;;;;
10.03.2015;DE;First Order;Returned;907.45;;;;;;;
09.03.2015;DE;First Order;Kept;597.44;;;;;;;
09.03.2015;DE;First Order;Returned;910.44;;;;;;;
02.03.2015;DE;Repeat Order Follow-on;Returned;189.90;;;;;;;
02.03.2015;DE;First Order;Returned;848.45;;;;;;;
28.02.2015;DE;Outfittery Club Order;Returned;973.45;;;;;;;
27.02.2015;BE;First Order;Returned;929.45;;;;;;;
26.02.2015;CH;Outfittery Club Order;Returned;1,087.73;;;;;;;
26.02.2015;DE;Repeat Order Follow-on;Lost;331.45;;;;;;;
26.02.2015;DE;First Order;Returned;764.40;;;;;;;
25.02.2015;DE;First Order;Returned;2,965.80;;;;;;;
24.02.2015;CH;Outfittery Club Order;Returned;1,038.90;;;;;;;
24.02.2015;DE;Outfittery Club Order;Returned;3,532.28;;;;;;;
24.02.2015;DE;First Order;Returned;2,013.85;;;;;;;
23.02.2015;DE;Outfittery Club Order;Kept;729.54;;;;;;;
23.02.2015;DE;Outfittery Club Order;Returned;2,587.05;;;;;;;
23.02.2015;DE;Repeat Order;Returned;532.50;;;;;;;
23.02.2015;DE;First Order;Returned;2,079.55;;;;;;;
20.02.2015;DE;Repeat Order;Returned;777.20;;;;;;;
19.02.2015;DE;Repeat Order;Returned;1,389.25;;;;;;;
17.02.2015;DE;Repeat Order;Returned;184.65;;;;;;;
17.02.2015;DE;First Order;Returned;832.10;;;;;;;
16.02.2015;SE;First Order;Kept;499.78;;;;;;;
09.02.2015;DE;Repeat Order;Returned;498.45;;;;;;;
06.02.2015;AT;Repeat Order;Returned;747.30;;;;;;;
03.02.2015;SE;Repeat Order;Returned;665.43;;;;;;;
03.02.2015;AT;First Order;Returned;790.29;;;;;;;
02.02.2015;NL;First Order;Returned;1,214.30;;;;;;;
29.01.2015;AT;First Order Follow-on;Returned;309.63;;;;;;;
13.01.2015;CH;First Order;Returned;1,119.01;;;;;;;
08.01.2015;NL;First Order;Kept;832.40;;;;;;;
02.01.2015;NL;First Order;Kept;1,162.15;;;;;;;
11.12.2014;CH;First Order;Returned;759.36;;;;;;;
;;;;;;;;;;;
