order_id;return_comment;return_comment_date
307196731;addressee unknown;19.08.2015
307594985;addressee unknown;19.08.2015
318060069;addressee unknown;19.08.2015
312192240;addressee unknown;19.08.2015
315479617;addressee unknown;19.08.2015
322546939;addressee has moved;
313428438;addressee unknown;20.08.2015
315291003;addressee unknown;20.08.2015
298308691;changed adresse;
312750487;addressee unknown;
318877638;addressee unknown;
299583341;addressee unknown;24.08.2015
319051763;addressee unknown;24.08.2015
313184216;addressee unknown;24.08.2015
312790115;addressee unknown;24.08.2015
312981900;addressee unknown;24.08.2015
312985514;addressee unknown;24.08.2015
297444652;addressee unknown;24.08.2015
318873858;addressee unknown;24.08.2015
315083706;addressee unknown;24.08.2015
315827958;addressee unknown;24.08.2015
322688054;addressee unknown;24.08.2015
319088674;addressee unknown;24.08.2015
312403435;addressee unknown;24.08.2015
299134581;addressee unknown;24.08.2015
316110651;addressee unknown;24.08.2015
315476745;addressee unknown;24.08.2015
312419797;addressee unknown;24.08.2015
313178607;addressee unknown;24.08.2015
316295899;addressee unknown;24.08.2015
311166771;addressee unknown;24.08.2015
308217277;addressee unknown;25.08.2015
299630584;addressee unknown;25.08.2015
310067485;addressee unknown;25.08.2015
313607407;addressee unknown;25.08.2015
321362487;addressee unknown;24.08.2015
317812873;addressee unknown;24.08.2015
318863654;addressee unknown;24.08.2015
298012037;addressee unknown;24.08.2015
321133956;addressee unknown;24.08.2015
321775467;addressee unknown;24.08.2015
319914627;addressee unknown;24.08.2015
317438651;addressee unknown;24.08.2015
299471283;addressee unknown;24.08.2015
297886468;addressee unknown;24.08.2015
299187059;addressee unknown;24.08.2015
312087350;addressee unknown;24.08.2015
297697596;addressee unknown;24.08.2015
316291814;addressee unknown;24.08.2015
300506604;addressee unknown;24.08.2015
312988900;addressee unknown;24.08.2015
319946404;addressee unknown;24.08.2015
299189164;addressee unknown;24.08.2015
317740942;addressee unknown;24.08.2015
316120174;addressee unknown;27.08.2015
320918499;addressee unknown;27.08.2015
313563229;addressee unknown;27.08.2015
323993904;addressee unknown;28.08.2015
323208069;addressee unknown;28.08.2015
321418903;addressee unknown;28.08.2015
323451143;addressee unknown;28.08.2015
312995766;addressee unknown;28.08.2015
323210171;addressee unknown;28.08.2015
324810776;addressee unknown;28.08.2015
323685618;addressee unknown;28.08.2015
322697841;addressee unknown;28.08.2015
322045352;addressee unknown;28.08.2015
322272925;addressee unknown;29.08.2015
313730949;addressee unknown;29.08.2015
320367141;addressee unknown;29.08.2015
324594327;addressee unknown;29.08.2015
323097551;addressee unknown;29.08.2015
317419271;addressee unknown;29.08.2015
323899494;addressee unknown;29.08.2015
322043166;addressee unknown;29.08.2015
322992699;addressee unknown;27.08.2015
322046377;addressee unknown;27.08.2015
323513340;addressee unknown;27.08.2015
323958364;addressee unknown;27.08.2015
323021145;addressee unknown;27.08.2015
323207847;addressee unknown;27.08.2015
322698411;addressee unknown;27.08.2015
321782597;addressee unknown;27.08.2015
312560826;addressee unknown;31.08.2015
323680954;addressee unknown;31.08.2015
319091416;addressee unknown;31.08.2015
324840656;addressee unknown;31.08.2015
320338936;addressee unknown;31.08.2015
325430405;addressee unknown;31.08.2015
322974874;addressee unknown;31.08.2015
323556457;addressee unknown;31.08.2015
323548902;addressee unknown;31.08.2015
312048376;addressee unknown;31.08.2015
312745847;addressee unknown;31.08.2015
323592085;addressee unknown;31.08.2015
324603509;addressee unknown;31.08.2015
324851160;addressee unknown;31.08.2015
319055201;addressee unknown;31.08.2015
323562620;addressee unknown;31.08.2015
324450571;addressee unknown;31.08.2015
312739355;addressee unknown;25.08.2015
317270378;addressee unknown;25.08.2015
322055058;addressee unknown;25.08.2015
300082377;addressee unknown;25.08.2015
319926471;addressee unknown;25.08.2015
312570338;addressee unknown;25.08.2015
322499209;addressee unknown;25.08.2015
319926471;addressee unknown;25.08.2015
317812873;addressee unknown;25.08.2015
318574498;addressee unknown;25.08.2015
319091416;addressee unknown;25.08.2015
325800542;addressee unknown;01.09.2015
325819766;addressee unknown;01.09.2015
325069430;addressee unknown;01.09.2015
323592065;addressee unknown;01.09.2015
324453876;addressee unknown;01.09.2015
324839327;addressee unknown;01.09.2015
323590107;addressee unknown;01.09.2015
319068499;addressee unknown;02.09.2015
322657409;addressee has moved;02.09.2015
323554646;addressee unknown;04.09.2015
319857184;addressee unknown;04.09.2015
321686802;addressee has moved;04.09.2015
323551613;addressee has moved;04.09.2015
325278216;addressee unknown;04.09.2015
325050232;addressee unknown;04.09.2015
323594332;addressee unknown;04.09.2015
323563160;addressee unknown;04.09.2015
327322085;addressee unknown;04.09.2015
327096103;addressee unknown;04.09.2015
325992140;addressee unknown;04.09.2015
325539524;addressee unknown;08.09.2015
325880727;addressee unknown;08.09.2015
323538397;addressee unknown;08.09.2015
324023723;addressee unknown;08.09.2015
325080401;addressee unknown;08.09.2015
325059617;addressee unknown;08.09.2015
325893447;addressee unknown;08.09.2015
323548358;addressee unknown;08.09.2015
323589604;addressee unknown;08.09.2015
328630111;addressee unknown;08.09.2015
327651344;addressee unknown;08.09.2015
324576704;addressee unknown;08.09.2015
329271917;addressee unknown;08.09.2015
325778689;addressee unknown;08.09.2015
325804175;addressee unknown;08.09.2015
325774000;addressee unknown;08.09.2015
329683457;addressee unknown;08.09.2015
325267378;addressee unknown;08.09.2015
330553992;addressee unknown;08.09.2015
330204915;addressee unknown;08.09.2015
325795761;addressee unknown;08.09.2015
330368819;addressee unknown;08.09.2015
328399908;addressee unknown;08.09.2015
323539046;addressee unknown;08.09.2015
323560008;addressee unknown;08.09.2015
329819202;addressee unknown;08.09.2015
330197864;addressee unknown;08.09.2015
330187874;addressee unknown;08.09.2015
329547450;addressee unknown;08.09.2015
329688992;addressee unknown;08.09.2015
322087994;addressee unknown;08.09.2015
323562165;addressee unknown;08.09.2015
325787694;addressee unknown;08.09.2015
325779981;addressee unknown;08.09.2015
291263354;addressee unknown;08.09.2015
329953114;addressee unknown;08.09.2015
325782742;addressee unknown;08.09.2015
324783670;addressee unknown;05.09.2015
323551876;addressee unknown;05.09.2015
320702029;addressee unknown;05.09.2015
323539828;addressee unknown;05.09.2015
326458812;addressee unknown;05.09.2015
328090513;addressee unknown;07.09.2015
327012334;addressee unknown;07.09.2015
328608288;addressee unknown;07.09.2015
323551933;addressee unknown;07.09.2015
328625650;addressee unknown;07.09.2015
323591100;addressee unknown;07.09.2015
309448213;addressee unknown;08.09.2015
300076149;addressee unknown;08.09.2015
302362350;addressee unknown;08.09.2015
322657409;addressee has moved;09.09.2015
323568309;addressee unknown;09.09.2015
325421798;addressee unknown;09.09.2015
334019376;addressee has moved;10.09.2015
307496695;addressee unknown;11.09.2015
318862374;addressee unknown;11.09.2015
320361810;addressee unknown;11.09.2015
323434660;addressee unknown;12.09.2015
320185285;addressee unknown;12.09.2015
322277763;addressee unknown;12.09.2015
302345905;addressee unknown;11.09.2015
323541931;addressee unknown;11.09.2015
325955520;addressee unknown;11.09.2015
325284503;addressee unknown;11.09.2015
323543763;addressee unknown;11.09.2015
323555071;addressee unknown;11.09.2015
323538454;addressee unknown;11.09.2015
326068794;addressee unknown;11.09.2015
323556700;addressee unknown;11.09.2015
326550588;addressee unknown;14.09.2015
329681282;addressee unknown;14.09.2015
328609535;addressee unknown;14.09.2015
