"16-Feb-2015","SE","First Order","Kept","499.78"
"30-Jun-2015","DE","First Order","Returned","1,544.00"
"26-Feb-2015","DE","First Order","Returned","764.40"
"06-Aug-2015","DE","Repeat Order Follow-on","Returned","499.70"
"10-Jun-2015","DE","First Order","Returned","1,165.19"
"24-Feb-2015","DE","First Order","Returned","2,013.85"
"23-Apr-2015","DE","First Order","Returned","1,096.05"
"12-Aug-2015","DE","First Order","Returned","3,788.15"
"24-Jul-2015","DE","First Order","Returned","4,125.98"
"26-Mai-2015","DE","Repeat Order Follow-on","Returned","349.70"
"15-Jul-2015","AT","First Order","Returned","934.20"
"28-Mai-2015","DE","Outfittery Club Order","Returned","9,553.42"
"07-Apr-2015","DE","First Order","Returned","2,134.10"
"19-Jun-2015","DE","First Order","Returned","4,058.87"
"23-Jun-2015","NL","Outfittery Club Order","Returned","659.45"
"10-Sep-2015","DE","First Order","Returned","5,319.88"
"19-Mrz-2015","DE","Outfittery Club Order","Returned","744.39"
"19-Mai-2015","DE","Repeat Order Follow-on","","49.95"
"05-Sep-2015","DE","Outfittery Club Order","Returned","9,777.63"
"01-Sep-2015","DE","Repeat Order","Returned","929.35"
"08-Sep-2015","DE","First Order","Returned","5,643.10"
"29-Jul-2015","AT","Repeat Order","Returned","759.60"
"11-Mai-2015","DE","First Order","Returned","1,469.95"
"31-Aug-2015","DE","Repeat Order","Returned","897.35"
"05-Jun-2015","DE","Repeat Order Follow-on","Returned","289.85"
"02-Jun-2015","DE","Repeat Order","Returned","689.40"
"16-Jun-2015","BE","Repeat Order","Returned","489.65"
"21-Aug-2015","DE","Repeat Order","Returned","1,055.25"
"22-Jun-2015","AT","First Order","Returned","1,029.55"
"12-Jun-2015","DE","First Order","Returned","1,546.75"
"16-Jun-2015","DE","First Order Follow-on","Returned","719.55"
"23-Jun-2015","DE","Repeat Order","Returned","1,266.65"
"02-Jun-2015","BE","First Order Follow-on","Returned","199.85"
"03-Jun-2015","DE","Outfittery Club Order","Returned","1,239.50"
"23-Feb-2015","DE","First Order","Returned","2,079.55"
"16-Jun-2015","AT","First Order","Returned","992.50"
"20-Aug-2015","DE","First Order","Returned","1,543.78"
"27-Mai-2015","DE","First Order","Returned","1,133.65"
"10-Jul-2015","DE","Repeat Order Follow-on","Returned","139.90"
"10-Sep-2015","CH","First Order","Returned","671.99"
"13-Jul-2015","AT","First Order","Returned","952.30"
"19-Jun-2015","CH","First Order","Returned","933.43"
"22-Aug-2015","DE","Repeat Order","Returned","497.60"
"09-Jun-2015","NL","Outfittery Club Order","Returned","669.45"
"14-Sep-2015","DE","Repeat Order","Returned","814.45"
"05-Mai-2015","DE","Repeat Order","Returned","239.75"
"17-Aug-2015","DE","First Order","Cancelled","1,219.30"
"09-Sep-2015","DE","First Order Follow-on","","99.95"
"28-Apr-2015","CH","First Order","Returned","633.30"
"02-Jul-2015","DE","First Order Follow-on","Returned","349.70"
"28-Apr-2015","CH","Repeat Order","Kept","639.75"
"09-Feb-2015","DE","Repeat Order","Returned","498.45"
"20-Feb-2015","DE","Repeat Order","Returned","777.20"
"23-Jul-2015","DE","First Order","Returned","2,907.68"
"09-Mrz-2015","DE","Repeat Order Follow-on","Returned","189.90"
"29-Apr-2015","CH","Repeat Order Follow-on","Kept","144.33"
"24-Jun-2015","DE","Repeat Order","Returned","574.40"
"03-Sep-2015","BE","First Order","Returned","819.59"
"29-Jun-2015","DE","First Order","Returned","5,297.24"
"07-Jul-2015","DE","First Order","Returned","4,601.97"
"07-Aug-2015","DE","First Order","Returned","9,608.64"
"10-Aug-2015","DE","First Order","Returned","21,465.02"
"27-Aug-2015","NL","Outfittery Club Order","Returned","834.38"
"27-Jul-2015","DE","Repeat Order","Returned","592.55"
"19-Aug-2015","AT","First Order","Returned","1,690.62"
"05-Jun-2015","DE","Outfittery Club Order","Returned","1,064.35"
"07-Sep-2015","DE","Outfittery Club Order","Returned","5,710.24"
"13-Mrz-2015","DE","First Order","Returned","605.55"
"02-Apr-2015","CH","Repeat Order","Kept","1,174.58"
"04-Sep-2015","DE","First Order Follow-on","Returned","279.90"
